traitID	traitDescription	traitType	downloadLink
914_irnt.female	Duration of vigorous activity	non-blood	https://www.dropbox.com/s/b4omcmdw30zo9fw/914_irnt.ldsc.imputed_v3.female.tsv.bgz
914_irnt.male	Duration of vigorous activity	non-blood	https://www.dropbox.com/s/r7cbwyi1rre26rx/914_irnt.ldsc.imputed_v3.male.tsv.bgz
1438_irnt.female	Bread intake	non-blood	https://www.dropbox.com/s/sxa0u5h0149y1wo/1438_irnt.ldsc.imputed_v3.female.tsv.bgz
1438_irnt.male	Bread intake	non-blood	https://www.dropbox.com/s/84rntzr79mgaaz6/1438_irnt.ldsc.imputed_v3.male.tsv.bgz
1488_irnt.female	Tea intake	non-blood	https://www.dropbox.com/s/mxq469mg9pdn95h/1488_irnt.ldsc.imputed_v3.female.tsv.bgz
1488_irnt.male	Tea intake	non-blood	https://www.dropbox.com/s/rwqwp4ve8wyli4q/1488_irnt.ldsc.imputed_v3.male.tsv.bgz
1807_irnt.female	Father's age at death	non-blood	https://www.dropbox.com/s/lekhveifwzhhmy8/1807_irnt.ldsc.imputed_v3.female.tsv.bgz
1807_irnt.male	Father's age at death	non-blood	https://www.dropbox.com/s/c2jve2djn1k45rk/1807_irnt.ldsc.imputed_v3.male.tsv.bgz
2139_irnt.female	Age first had sexual intercourse	non-blood	https://www.dropbox.com/s/c00wg5bb3xtgg9o/2139_irnt.ldsc.imputed_v3.female.tsv.bgz
2139_irnt.male	Age first had sexual intercourse	non-blood	https://www.dropbox.com/s/xb9an2ani3tnutw/2139_irnt.ldsc.imputed_v3.male.tsv.bgz
2217_irnt.female	Age started wearing glasses or contact lenses	non-blood	https://www.dropbox.com/s/dqs7bvzedg9xkl5/2217_irnt.ldsc.imputed_v3.female.tsv.bgz
2217_irnt.male	Age started wearing glasses or contact lenses	non-blood	https://www.dropbox.com/s/ptu7j94lmen1mmf/2217_irnt.ldsc.imputed_v3.male.tsv.bgz
2867_irnt.female	Age started smoking in former smokers	non-blood	https://www.dropbox.com/s/x6kwq25c2dwp87p/2867_irnt.ldsc.imputed_v3.female.tsv.bgz
2867_irnt.male	Age started smoking in former smokers	non-blood	https://www.dropbox.com/s/v0w7daan82fl90s/2867_irnt.ldsc.imputed_v3.male.tsv.bgz
2966_irnt.female	Age high blood pressure diagnosed	non-blood	https://www.dropbox.com/s/h7dx2pcguv8d1vq/2966_irnt.ldsc.imputed_v3.female.tsv.bgz
2966_irnt.male	Age high blood pressure diagnosed	non-blood	https://www.dropbox.com/s/yf3zr6aevxwvs68/2966_irnt.ldsc.imputed_v3.male.tsv.bgz
2976_irnt.female	Age diabetes diagnosed	non-blood	https://www.dropbox.com/s/xev6lc0a116lxkd/2976_irnt.ldsc.imputed_v3.female.tsv.bgz
2976_irnt.male	Age diabetes diagnosed	non-blood	https://www.dropbox.com/s/zef06fxutgx6fwt/2976_irnt.ldsc.imputed_v3.male.tsv.bgz
3062_irnt.female	Forced vital capacity (FVC)	non-blood	https://www.dropbox.com/s/10h9v14eldlpxc9/3062_irnt.ldsc.imputed_v3.female.tsv.bgz
3062_irnt.male	Forced vital capacity (FVC)	non-blood	https://www.dropbox.com/s/uc7dvrukl7rk7k9/3062_irnt.ldsc.imputed_v3.male.tsv.bgz
3063_irnt.female	Forced expiratory volume in 1-second (FEV1)	non-blood	https://www.dropbox.com/s/pgeqi8m0i91zyvp/3063_irnt.ldsc.imputed_v3.female.tsv.bgz
3063_irnt.male	Forced expiratory volume in 1-second (FEV1)	non-blood	https://www.dropbox.com/s/d3otju8xghxt3nm/3063_irnt.ldsc.imputed_v3.male.tsv.bgz
3064_irnt.female	Peak expiratory flow (PEF)	non-blood	https://www.dropbox.com/s/huetqq8vxkiapi7/3064_irnt.ldsc.imputed_v3.female.tsv.bgz
3064_irnt.male	Peak expiratory flow (PEF)	non-blood	https://www.dropbox.com/s/lwovyff3gnuo7tj/3064_irnt.ldsc.imputed_v3.male.tsv.bgz
3143_irnt.female	Ankle spacing width	non-blood	https://www.dropbox.com/s/f4n3w14z0j22hfr/3143_irnt.ldsc.imputed_v3.female.tsv.bgz
3143_irnt.male	Ankle spacing width	non-blood	https://www.dropbox.com/s/n3lrdajz3svr7yv/3143_irnt.ldsc.imputed_v3.male.tsv.bgz
3144_irnt.female	Heel Broadband ultrasound attenuation, direct entry	non-blood	https://www.dropbox.com/s/ced2wo74s5t1sxn/3144_irnt.ldsc.imputed_v3.female.tsv.bgz
3144_irnt.male	Heel Broadband ultrasound attenuation, direct entry	non-blood	https://www.dropbox.com/s/0vif2gjn1st84yo/3144_irnt.ldsc.imputed_v3.male.tsv.bgz
3147_irnt.female	Heel quantitative ultrasound index (QUI), direct entry	non-blood	https://www.dropbox.com/s/m4y7jltt0kcza9z/3147_irnt.ldsc.imputed_v3.female.tsv.bgz
3147_irnt.male	Heel quantitative ultrasound index (QUI), direct entry	non-blood	https://www.dropbox.com/s/e0deu2ipgep5iix/3147_irnt.ldsc.imputed_v3.male.tsv.bgz
3148_irnt.female	Heel bone mineral density (BMD)	non-blood	https://www.dropbox.com/s/78da1xfaqwjh3wx/3148_irnt.ldsc.imputed_v3.female.tsv.bgz
3148_irnt.male	Heel bone mineral density (BMD)	non-blood	https://www.dropbox.com/s/be3eb44myoj7jqd/3148_irnt.ldsc.imputed_v3.male.tsv.bgz
3436_irnt.female	Age started smoking in current smokers	non-blood	https://www.dropbox.com/s/7zut3evkczwp7rr/3436_irnt.ldsc.imputed_v3.female.tsv.bgz
3436_irnt.male	Age started smoking in current smokers	non-blood	https://www.dropbox.com/s/b62la9r3nr3acaa/3436_irnt.ldsc.imputed_v3.male.tsv.bgz
3526_irnt.female	Mother's age at death	non-blood	https://www.dropbox.com/s/6ycqngc2m321716/3526_irnt.ldsc.imputed_v3.female.tsv.bgz
3526_irnt.male	Mother's age at death	non-blood	https://www.dropbox.com/s/2b0101o19o25ysu/3526_irnt.ldsc.imputed_v3.male.tsv.bgz
3627_irnt.male	Age angina diagnosed	non-blood	https://www.dropbox.com/s/hppkh1h6dqbvbxv/3627_irnt.ldsc.imputed_v3.male.tsv.bgz
3761_irnt.female	Age hay fever, rhinitis or eczema diagnosed	non-blood	https://www.dropbox.com/s/tw33xdcndbno9zz/3761_irnt.ldsc.imputed_v3.female.tsv.bgz
3761_irnt.male	Age hay fever, rhinitis or eczema diagnosed	non-blood	https://www.dropbox.com/s/lzgbpjr6hdqk59b/3761_irnt.ldsc.imputed_v3.male.tsv.bgz
3786_irnt.female	Age asthma diagnosed	non-blood	https://www.dropbox.com/s/ah4edo9ds5ushcd/3786_irnt.ldsc.imputed_v3.female.tsv.bgz
3786_irnt.male	Age asthma diagnosed	non-blood	https://www.dropbox.com/s/tvvi117dpch0a7u/3786_irnt.ldsc.imputed_v3.male.tsv.bgz
3894_irnt.male	Age heart attack diagnosed	non-blood	https://www.dropbox.com/s/t1bszrgvzvtpfjg/3894_irnt.ldsc.imputed_v3.male.tsv.bgz
4079_irnt.female	Diastolic blood pressure, automated reading	non-blood	https://www.dropbox.com/s/njg9ht2mku0sry5/4079_irnt.ldsc.imputed_v3.female.tsv.bgz
4079_irnt.male	Diastolic blood pressure, automated reading	non-blood	https://www.dropbox.com/s/w1t5l0ra9tj28h2/4079_irnt.ldsc.imputed_v3.male.tsv.bgz
4080_irnt.female	Systolic blood pressure, automated reading	non-blood	https://www.dropbox.com/s/o9b32uozzh2cdvo/4080_irnt.ldsc.imputed_v3.female.tsv.bgz
4080_irnt.male	Systolic blood pressure, automated reading	non-blood	https://www.dropbox.com/s/92isuzrh8ohljsd/4080_irnt.ldsc.imputed_v3.male.tsv.bgz
4100_irnt.female	Ankle spacing width (left)	non-blood	https://www.dropbox.com/s/xbbiknn3awtr43v/4100_irnt.ldsc.imputed_v3.female.tsv.bgz
4100_irnt.male	Ankle spacing width (left)	non-blood	https://www.dropbox.com/s/u26qtm1d5b7unaq/4100_irnt.ldsc.imputed_v3.male.tsv.bgz
4101_irnt.female	Heel broadband ultrasound attenuation (left)	non-blood	https://www.dropbox.com/s/l8h95epcmgfvtfh/4101_irnt.ldsc.imputed_v3.female.tsv.bgz
4101_irnt.male	Heel broadband ultrasound attenuation (left)	non-blood	https://www.dropbox.com/s/pd5x4qmjmrwr7gz/4101_irnt.ldsc.imputed_v3.male.tsv.bgz
4104_irnt.female	Heel quantitative ultrasound index (QUI), direct entry (left)	non-blood	https://www.dropbox.com/s/58sy3l8eobd8yw7/4104_irnt.ldsc.imputed_v3.female.tsv.bgz
4104_irnt.male	Heel quantitative ultrasound index (QUI), direct entry (left)	non-blood	https://www.dropbox.com/s/it84g7wb8x7zwkd/4104_irnt.ldsc.imputed_v3.male.tsv.bgz
4105_irnt.female	Heel bone mineral density (BMD) (left)	non-blood	https://www.dropbox.com/s/rxxnn3750vyjcxk/4105_irnt.ldsc.imputed_v3.female.tsv.bgz
4105_irnt.male	Heel bone mineral density (BMD) (left)	non-blood	https://www.dropbox.com/s/msy1srjqjiv1130/4105_irnt.ldsc.imputed_v3.male.tsv.bgz
4106_irnt.female	Heel bone mineral density (BMD) T-score, automated (left)	non-blood	https://www.dropbox.com/s/3aofbqpcqkr00zy/4106_irnt.ldsc.imputed_v3.female.tsv.bgz
4106_irnt.male	Heel bone mineral density (BMD) T-score, automated (left)	non-blood	https://www.dropbox.com/s/2fsnr4wz3uskbtg/4106_irnt.ldsc.imputed_v3.male.tsv.bgz
4119_irnt.female	Ankle spacing width (right)	non-blood	https://www.dropbox.com/s/7kbylk0x9wgpn3z/4119_irnt.ldsc.imputed_v3.female.tsv.bgz
4119_irnt.male	Ankle spacing width (right)	non-blood	https://www.dropbox.com/s/idk3uht0vkltoqr/4119_irnt.ldsc.imputed_v3.male.tsv.bgz
4120_irnt.female	Heel broadband ultrasound attenuation (right)	non-blood	https://www.dropbox.com/s/54pudihg62h3kcm/4120_irnt.ldsc.imputed_v3.female.tsv.bgz
4120_irnt.male	Heel broadband ultrasound attenuation (right)	non-blood	https://www.dropbox.com/s/7astld6garvhjjk/4120_irnt.ldsc.imputed_v3.male.tsv.bgz
4123_irnt.female	Heel quantitative ultrasound index (QUI), direct entry (right)	non-blood	https://www.dropbox.com/s/3f5sxg1j6r6l9l2/4123_irnt.ldsc.imputed_v3.female.tsv.bgz
4123_irnt.male	Heel quantitative ultrasound index (QUI), direct entry (right)	non-blood	https://www.dropbox.com/s/v2inmi7bb0a0izb/4123_irnt.ldsc.imputed_v3.male.tsv.bgz
4124_irnt.female	Heel bone mineral density (BMD) (right)	non-blood	https://www.dropbox.com/s/kj55cvti9o70yzn/4124_irnt.ldsc.imputed_v3.female.tsv.bgz
4124_irnt.male	Heel bone mineral density (BMD) (right)	non-blood	https://www.dropbox.com/s/nwp12x5rqhdcq3x/4124_irnt.ldsc.imputed_v3.male.tsv.bgz
4125_irnt.female	Heel bone mineral density (BMD) T-score, automated (right)	non-blood	https://www.dropbox.com/s/83p0jaw7w36w76v/4125_irnt.ldsc.imputed_v3.female.tsv.bgz
4125_irnt.male	Heel bone mineral density (BMD) T-score, automated (right)	non-blood	https://www.dropbox.com/s/vtu4b4n7silui80/4125_irnt.ldsc.imputed_v3.male.tsv.bgz
4194_irnt.female	Pulse rate	non-blood	https://www.dropbox.com/s/37tbrvrvhuqh7f3/4194_irnt.ldsc.imputed_v3.female.tsv.bgz
4194_irnt.male	Pulse rate	non-blood	https://www.dropbox.com/s/4b20jwhg41p3i6o/4194_irnt.ldsc.imputed_v3.male.tsv.bgz
4195_irnt.female	Pulse wave reflection index	non-blood	https://www.dropbox.com/s/4t2inqyw2np7jyd/4195_irnt.ldsc.imputed_v3.female.tsv.bgz
4195_irnt.male	Pulse wave reflection index	non-blood	https://www.dropbox.com/s/cuqh8vmjq9gtk1l/4195_irnt.ldsc.imputed_v3.male.tsv.bgz
4196_irnt.female	Pulse wave peak to peak time	non-blood	https://www.dropbox.com/s/5vnfgz9lhgcpf3o/4196_irnt.ldsc.imputed_v3.female.tsv.bgz
4196_irnt.male	Pulse wave peak to peak time	non-blood	https://www.dropbox.com/s/i1cc7u8mmv5f1uv/4196_irnt.ldsc.imputed_v3.male.tsv.bgz
4230_irnt.female	Signal-to-noise-ratio (SNR) of triplet (left)	non-blood	https://www.dropbox.com/s/7fxryltyiytonij/4230_irnt.ldsc.imputed_v3.female.tsv.bgz
4230_irnt.male	Signal-to-noise-ratio (SNR) of triplet (left)	non-blood	https://www.dropbox.com/s/7jonvj83hap8o58/4230_irnt.ldsc.imputed_v3.male.tsv.bgz
4233_irnt.female	Mean signal-to-noise ratio (SNR), (left)	non-blood	https://www.dropbox.com/s/zuivjo3w4wu9gg2/4233_irnt.ldsc.imputed_v3.female.tsv.bgz
4233_irnt.male	Mean signal-to-noise ratio (SNR), (left)	non-blood	https://www.dropbox.com/s/5mgvbv7decjeqc2/4233_irnt.ldsc.imputed_v3.male.tsv.bgz
4241_irnt.female	Signal-to-noise-ratio (SNR) of triplet (right)	non-blood	https://www.dropbox.com/s/ghrasv0p9e9ei1m/4241_irnt.ldsc.imputed_v3.female.tsv.bgz
4241_irnt.male	Signal-to-noise-ratio (SNR) of triplet (right)	non-blood	https://www.dropbox.com/s/2zzqwo92sddp271/4241_irnt.ldsc.imputed_v3.male.tsv.bgz
4244_irnt.female	Mean signal-to-noise ratio (SNR), (right)	non-blood	https://www.dropbox.com/s/atb0y1amhc8yiqh/4244_irnt.ldsc.imputed_v3.female.tsv.bgz
4244_irnt.male	Mean signal-to-noise ratio (SNR), (right)	non-blood	https://www.dropbox.com/s/b5ukos6zeckbju9/4244_irnt.ldsc.imputed_v3.male.tsv.bgz
4288_irnt.female	Time to answer	non-blood	https://www.dropbox.com/s/p2598k4pihozf2b/4288_irnt.ldsc.imputed_v3.female.tsv.bgz
4288_irnt.male	Time to answer	non-blood	https://www.dropbox.com/s/ijwe57tyvt0rnwa/4288_irnt.ldsc.imputed_v3.male.tsv.bgz
4290_irnt.female	Duration screen displayed	non-blood	https://www.dropbox.com/s/2wt70q5vo506pwj/4290_irnt.ldsc.imputed_v3.female.tsv.bgz
4290_irnt.male	Duration screen displayed	non-blood	https://www.dropbox.com/s/tmfladr8sy3pygg/4290_irnt.ldsc.imputed_v3.male.tsv.bgz
4609_irnt.female	Longest period of depression	non-blood	https://www.dropbox.com/s/fycngcz01ron7db/4609_irnt.ldsc.imputed_v3.female.tsv.bgz
4609_irnt.male	Longest period of depression	non-blood	https://www.dropbox.com/s/537k3tlf4z23sw9/4609_irnt.ldsc.imputed_v3.male.tsv.bgz
5084_irnt.female	Spherical power (right)	non-blood	https://www.dropbox.com/s/7o5otcy6a4b8swl/5084_irnt.ldsc.imputed_v3.female.tsv.bgz
5084_irnt.male	Spherical power (right)	non-blood	https://www.dropbox.com/s/i54vr75nb6l154g/5084_irnt.ldsc.imputed_v3.male.tsv.bgz
5085_irnt.female	Spherical power (left)	non-blood	https://www.dropbox.com/s/5pqs3l7p662ntdv/5085_irnt.ldsc.imputed_v3.female.tsv.bgz
5085_irnt.male	Spherical power (left)	non-blood	https://www.dropbox.com/s/x74li396wyfewaj/5085_irnt.ldsc.imputed_v3.male.tsv.bgz
5086_irnt.female	Cylindrical power (left)	non-blood	https://www.dropbox.com/s/qgt8yo5sgurmybe/5086_irnt.ldsc.imputed_v3.female.tsv.bgz
5086_irnt.male	Cylindrical power (left)	non-blood	https://www.dropbox.com/s/ornb38c4uzmb47t/5086_irnt.ldsc.imputed_v3.male.tsv.bgz
5087_irnt.female	Cylindrical power (right)	non-blood	https://www.dropbox.com/s/rrbhm6mm1lykgrx/5087_irnt.ldsc.imputed_v3.female.tsv.bgz
5087_irnt.male	Cylindrical power (right)	non-blood	https://www.dropbox.com/s/cdgu3tw307buz7p/5087_irnt.ldsc.imputed_v3.male.tsv.bgz
5088_irnt.female	Astigmatism angle (right)	non-blood	https://www.dropbox.com/s/az7e5im57s5klqn/5088_irnt.ldsc.imputed_v3.female.tsv.bgz
5088_irnt.male	Astigmatism angle (right)	non-blood	https://www.dropbox.com/s/yyczyvz74b99gny/5088_irnt.ldsc.imputed_v3.male.tsv.bgz
5089_irnt.female	Astigmatism angle (left)	non-blood	https://www.dropbox.com/s/yibi24qtx21qiw0/5089_irnt.ldsc.imputed_v3.female.tsv.bgz
5089_irnt.male	Astigmatism angle (left)	non-blood	https://www.dropbox.com/s/5oz1haalvk59oub/5089_irnt.ldsc.imputed_v3.male.tsv.bgz
5096_irnt.female	3mm weak meridian (left)	non-blood	https://www.dropbox.com/s/vc6pbzopw9n04pq/5096_irnt.ldsc.imputed_v3.female.tsv.bgz
5096_irnt.male	3mm weak meridian (left)	non-blood	https://www.dropbox.com/s/p6wuu22ts2139sq/5096_irnt.ldsc.imputed_v3.male.tsv.bgz
5097_irnt.female	6mm weak meridian (left)	non-blood	https://www.dropbox.com/s/4qar6guows32gaa/5097_irnt.ldsc.imputed_v3.female.tsv.bgz
5097_irnt.male	6mm weak meridian (left)	non-blood	https://www.dropbox.com/s/q8tg08vai2c9ift/5097_irnt.ldsc.imputed_v3.male.tsv.bgz
5098_irnt.female	6mm weak meridian (right)	non-blood	https://www.dropbox.com/s/8heqnfopdry8t0w/5098_irnt.ldsc.imputed_v3.female.tsv.bgz
5098_irnt.male	6mm weak meridian (right)	non-blood	https://www.dropbox.com/s/mkqen3jwmggu5ed/5098_irnt.ldsc.imputed_v3.male.tsv.bgz
5099_irnt.female	3mm weak meridian (right)	non-blood	https://www.dropbox.com/s/vgqj348hvvppvsm/5099_irnt.ldsc.imputed_v3.female.tsv.bgz
5099_irnt.male	3mm weak meridian (right)	non-blood	https://www.dropbox.com/s/n0f1ooc1eka76a8/5099_irnt.ldsc.imputed_v3.male.tsv.bgz
5100_irnt.female	3mm weak meridian angle (right)	non-blood	https://www.dropbox.com/s/t59a249cuvw5d6s/5100_irnt.ldsc.imputed_v3.female.tsv.bgz
5100_irnt.male	3mm weak meridian angle (right)	non-blood	https://www.dropbox.com/s/vtg5ib4l1ww4oc5/5100_irnt.ldsc.imputed_v3.male.tsv.bgz
5101_irnt.female	6mm weak meridian angle (right)	non-blood	https://www.dropbox.com/s/0kuzgw8dy39t630/5101_irnt.ldsc.imputed_v3.female.tsv.bgz
5101_irnt.male	6mm weak meridian angle (right)	non-blood	https://www.dropbox.com/s/3ig29mfbk7iod0x/5101_irnt.ldsc.imputed_v3.male.tsv.bgz
5102_irnt.female	6mm weak meridian angle (left)	non-blood	https://www.dropbox.com/s/y57cnaw7bmsu89x/5102_irnt.ldsc.imputed_v3.female.tsv.bgz
5102_irnt.male	6mm weak meridian angle (left)	non-blood	https://www.dropbox.com/s/f75ss0ahhu7rdwq/5102_irnt.ldsc.imputed_v3.male.tsv.bgz
5103_irnt.female	3mm weak meridian angle (left)	non-blood	https://www.dropbox.com/s/txenhqg36l1uyiq/5103_irnt.ldsc.imputed_v3.female.tsv.bgz
5103_irnt.male	3mm weak meridian angle (left)	non-blood	https://www.dropbox.com/s/5nuzy15u18t9mpj/5103_irnt.ldsc.imputed_v3.male.tsv.bgz
5104_irnt.female	3mm strong meridian angle (left)	non-blood	https://www.dropbox.com/s/9ok3xc89xammfx9/5104_irnt.ldsc.imputed_v3.female.tsv.bgz
5104_irnt.male	3mm strong meridian angle (left)	non-blood	https://www.dropbox.com/s/rlpinprj54w35a4/5104_irnt.ldsc.imputed_v3.male.tsv.bgz
5105_irnt.female	6mm strong meridian angle (left)	non-blood	https://www.dropbox.com/s/b2j4ta0jm22rare/5105_irnt.ldsc.imputed_v3.female.tsv.bgz
5105_irnt.male	6mm strong meridian angle (left)	non-blood	https://www.dropbox.com/s/sl19hzw2847beu5/5105_irnt.ldsc.imputed_v3.male.tsv.bgz
5106_irnt.female	6mm strong meridian angle (right)	non-blood	https://www.dropbox.com/s/zfe8mem5bfa0n71/5106_irnt.ldsc.imputed_v3.female.tsv.bgz
5106_irnt.male	6mm strong meridian angle (right)	non-blood	https://www.dropbox.com/s/k3rz5v1xxcnicgg/5106_irnt.ldsc.imputed_v3.male.tsv.bgz
5107_irnt.female	3mm strong meridian angle (right)	non-blood	https://www.dropbox.com/s/14zos3v35ztqjx7/5107_irnt.ldsc.imputed_v3.female.tsv.bgz
5107_irnt.male	3mm strong meridian angle (right)	non-blood	https://www.dropbox.com/s/rnhg2tai0wz1ut2/5107_irnt.ldsc.imputed_v3.male.tsv.bgz
