trait_short	description	type
30780_irnt.male	LDL direct (mmol/L)	chemistry
30790_irnt.female	Lipoprotein A (nmol/L)	chemistry
30790_irnt.male	Lipoprotein A (nmol/L)	chemistry
30800_irnt.female	Oestradiol (pmol/L)	chemistry
30800_irnt.male	Oestradiol (pmol/L)	chemistry
30810_irnt.female	Phosphate (mmol/L)	chemistry
30810_irnt.male	Phosphate (mmol/L)	chemistry
30820_irnt.female	Rheumatoid factor (IU/ml)	chemistry
30820_irnt.male	Rheumatoid factor (IU/ml)	chemistry
30830_irnt.female	SHBG (nmol/L)	chemistry
30830_irnt.male	SHBG (nmol/L)	chemistry
30840_irnt.female	Total bilirubin (umol/L)	chemistry
30840_irnt.male	Total bilirubin (umol/L)	chemistry
30850_irnt.female	Testosterone (nmol/L)	chemistry
30850_irnt.male	Testosterone (nmol/L)	chemistry
30860_irnt.female	Total protein (g/L)	chemistry
30860_irnt.male	Total protein (g/L)	chemistry
30870_irnt.female	Triglycerides (mmol/L)	chemistry
30870_irnt.male	Triglycerides (mmol/L)	chemistry
30880_irnt.female	Urate (umol/L)	chemistry
30880_irnt.male	Urate (umol/L)	chemistry
30890_irnt.female	Vitamin D (nmol/L)	chemistry
30890_irnt.male	Vitamin D (nmol/L)	chemistry
