trait_short	Enrichment	Enrichment_p	Enrichment_p_adj	description	enrichments_list	enrichment_ps_list	colors	logged_enrichments	logged_enrichments_ps	type
30130_irnt.female	17.14553331292173	1.8978142628040634e-8	1.0127427020599864e-6	Monocyte count	17.14553331292173	1.8978142628040634e-8	red	4.099760874981327	7.721746293798312	count
30000_irnt.female	14.307504993568475	4.62999103675561e-8	2.2648372821462862e-6	White blood cell (leukocyte) count	14.307504993568475	4.62999103675561e-8	red	3.8387002053000328	7.3344198497361175	count
30270_irnt.male	29.40925605825864	6.192773053734367e-8	2.7519082182384544e-6	Mean sphered cell volume	29.40925605825864	6.192773053734367e-8	red	4.87819838490507	7.208114835268455	count
30130_irnt.male	14.947362691752026	6.563324540943503e-8	2.7519082182384544e-6	Monocyte count	14.947362691752026	6.563324540943503e-8	red	3.901819053078463	7.182876120372648	count
30260_irnt.male	33.68486985375528	9.818006391261427e-8	3.8421131677803054e-06	Mean reticulocyte volume	33.68486985375528	9.818006391261427e-8	red	5.074028820167594	7.007976689521883	count
30280_irnt.female	17.34130605247764	1.1447734782360439e-7	4.199887698278487e-6	Immature reticulocyte fraction	17.34130605247764	1.1447734782360439e-7	red	4.116140653451476	6.94128044073427	count
30290_irnt.female	17.029952358190215	1.3830830644297845e-7	4.775704463648726e-6	High light scatter reticulocyte percentage	17.029952358190215	1.3830830644297845e-7	red	4.090002493926199	6.85915173649213	count
30180_irnt.female	14.888070872814044	1.4854659719139359e-7	4.844269586186003e-6	Lymphocyte percentage	14.888070872814044	1.4854659719139359e-7	red	3.8960849231841403	6.828137292281233	count
30190_irnt.male	19.502173755646428	1.6921450173056199e-7	5.22783750083368e-6	Monocyte percentage	19.502173755646428	1.6921450173056199e-7	red	4.285563033821646	6.771562420542372	count
30080_irnt.male	18.09042730946133	3.334114328707435e-7	9.785625554756323e-6	Platelet count	18.09042730946133	3.334114328707435e-7	red	4.1771545807879145	6.477019512043872	count
30200_irnt.female	13.064591255557175	4.5051949548301356e-7	1.2593092564215664e-5	Neutrophill percentage	13.064591255557175	4.5051949548301356e-7	red	3.7075900834714144	6.346286410905786	count
30300_irnt.female	15.415593674992746	4.891915419567204e-7	1.3052519778572493e-5	High light scatter reticulocyte count	15.415593674992746	4.891915419567204e-7	red	3.9463185455050356	6.310521060452758	count
30190_irnt.female	19.657861062016703	5.571010004505223e-7	1.4218186402802456e-5	Monocyte percentage	19.657861062016703	5.571010004505223e-7	red	4.297034447944422	6.254066061627165	count
30140_irnt.male	13.752939152830605	9.011406656940037e-7	2.2040398781765838e-5	Neutrophill count	13.752939152830605	9.011406656940037e-7	red	3.781668066112411	6.045207411499927	count
30240_irnt.male	20.04525304089219	1.2297602950714169e-6	2.8691788994021227e-5	Reticulocyte percentage	20.04525304089219	1.2297602950714169e-6	red	4.325188724325965	5.91017953301015	count
30290_irnt.male	17.46447040436082	1.2708458498203607e-6	2.8691788994021227e-5	High light scatter reticulocyte percentage	17.46447040436082	1.2708458498203607e-6	red	4.126350989748012	5.895907125002607	count
30090_irnt.female	16.816691677427126	1.6981173160565918e-6	3.691832831574887e-5	Platelet crit	16.816691677427126	1.6981173160565918e-6	red	4.0718220091592805	5.770032309406542	count
30180_irnt.male	16.222290914503052	1.8651238269365082e-6	3.9100988800418926e-5	Lymphocyte percentage	16.222290914503052	1.8651238269365082e-6	red	4.0199056664529635	5.729292329769482	count
30250_irnt.male	18.617268889642514	1.995914755396249e-6	4.0400067635089586e-5	Reticulocyte count	18.617268889642514	1.995914755396249e-6	red	4.218569543274892	5.699858011170687	count
30080_irnt.female	17.69774413535844	2.557103687300322e-6	5.003399548150963e-5	Platelet count	17.69774413535844	2.557103687300322e-6	red	4.145493572023687	5.592251661528068	count
30240_irnt.female	18.311903541008714	2.6920721875001548e-6	5.097568948589004e-5	Reticulocyte percentage	18.311903541008714	2.6920721875001548e-6	red	4.1947098634356	5.569913298752428	count
30120_irnt.female	13.288993095269939	3.108404173187512e-6	5.615685450618055e-5	Lymphocyte count	13.288993095269939	3.108404173187512e-6	red	3.73215989088647	5.50746251664949	count
30250_irnt.female	16.606588214319114	3.157029299325312e-6	5.615685450618055e-5	Reticulocyte count	16.606588214319114	3.157029299325312e-6	red	4.053683800224275	5.5007213875483085	count
30280_irnt.male	14.04887722518358	3.352457781711751e-6	5.7879197584258754e-5	Immature reticulocyte fraction	14.04887722518358	3.352457781711751e-6	red	3.812382930928911	5.474636682614341	count
30300_irnt.male	16.13194355219742	4.766589344862587e-6	7.994251272669538e-5	High light scatter reticulocyte count	16.13194355219742	4.766589344862587e-6	red	4.011848357571998	5.321792262157791	count
30140_irnt.female	14.584271200313148	5.054597392156774e-6	8.24180185887785e-5	Neutrophill count	14.584271200313148	5.054597392156774e-6	red	3.8663413891135416	5.29631343103798	count
30010_irnt.male	17.12383449951626	6.265805841408111e-6	9.94061629434206e-5	Red blood cell (erythrocyte) count	17.12383449951626	6.265805841408111e-6	red	4.097933892070631	5.203023066733519	count
30010_irnt.female	16.29105694411832	6.919639357828917e-6	1.0689021850119931e-4	Red blood cell (erythrocyte) count	16.29105694411832	6.919639357828917e-6	red	4.02600830210081	5.159916539789819	count
30100_irnt.female	14.18499563935946	9.275878611797107e-6	1.3961386525961292e-4	Mean platelet (thrombocyte) volume	14.18499563935946	9.275878611797107e-6	red	3.826293801997664	5.032644943364325	count
30090_irnt.male	16.98205367708097	9.665705566385389e-6	1.418442291867056e-4	Platelet crit	16.98205367708097	9.665705566385389e-6	red	4.085939032611195	5.014766438334493	count
30220_irnt.male	22.75605455194665	1.0618139160819523e-5	1.520206753024649e-4	Basophill percentage	22.75605455194665	1.0618139160819523e-5	red	4.508178539537181	4.973951587115038	count
30060_irnt.female	34.232310295531924	1.8512700970092275e-5	2.587370349867658e-4	Mean corpuscular haemoglobin concentration	34.232310295531924	1.8512700970092275e-5	red	5.097286756193122	4.732530213833146	count
30750_irnt.female	16.616997564597227	2.113054786617169e-5	2.884565487777391e-4	Glycated haemoglobin (mmol/mol)	16.616997564597227	2.113054786617169e-5	red	4.054587827779665	4.675089242551539	chemistry
30060_irnt.male	33.65745870102005	4.8724712798064865e-5	6.50031963919638e-4	Mean corpuscular haemoglobin concentration	33.65745870102005	4.8724712798064865e-5	red	5.072854345297214	4.31225071209917	count
30210_irnt.female	12.50894813277892	5.215748700439284e-5	6.803654415906355e-4	Eosinophill percentage	12.50894813277892	5.215748700439284e-5	red	3.6448885744450203	4.28268334147891	count
30110_irnt.male	18.039699249098607	6.1013388788651975e-5	7.78583896063885e-4	Platelet distribution width	18.039699249098607	6.1013388788651975e-5	red	4.173103381626399	4.214574852874522	count
30120_irnt.male	15.481724370389824	6.652674786541609e-5	8.308766169574307e-4	Lymphocyte count	15.481724370389824	6.652674786541609e-5	red	3.952494264177267	4.177003706354426	count
30100_irnt.male	12.271950524417214	7.501178865949313e-5	9.17331665481718e-4	Mean platelet (thrombocyte) volume	12.271950524417214	7.501178865949313e-5	red	3.6172926664847664	4.1248704786424	count
30220_irnt.female	20.833204539846857	1.1480570393100001e-4	0.0013753254736223878	Basophill percentage	20.833204539846857	1.1480570393100001e-4	red	4.3808128650465985	3.9400365342009374	count
30110_irnt.female	13.902843294524924	1.491672675886e-4	0.0017512237214901642	Platelet distribution width	13.902843294524924	1.491672675886e-4	red	3.7973080560683776	3.826326465504241	count
30210_irnt.male	10.016037075397096	9.802298238276e-4	0.011282253070329436	Eosinophill percentage	10.016037075397096	9.802298238276e-4	red	3.3242399025653127	3.0086720880642437	count
21021_irnt.male	15.407547278926515	0.004084831005919	0.04611145770143179	Pulse wave Arterial Stiffness index	15.407547278926515	0.004084831005919	red	3.945565312991657	2.3888259060140653	non blood
30750_irnt.male	12.07185367881955	0.0044924767766049995	0.04975629939371953	Glycated haemoglobin (mmol/mol)	12.07185367881955	0.0044924767766049995	red	3.5935753192740774	2.347514159253684	chemistry
4196_irnt.male	14.467242963111596	0.0047106984163646	0.051207036489000365	Pulse wave peak to peak time	14.467242963111596	0.0047106984163646	black	3.8547181071214447	2.3269146988399254	non blood
30840_irnt.male	11.296882789881261	0.0053235882515657	0.056817205521255736	Total bilirubin (umol/L)	11.296882789881261	0.0053235882515657	black	3.497852831776606	2.2737955420381053	chemistry
5265_irnt.male	-7.39748011235162	0.0060987962327584	0.06392845336837823	Corneal resistance factor (left)	0.1	0.0060987962327584	black	-3.321928094887362	2.214755876638521	non blood
30860_irnt.male	7.992408614970665	0.0065041602559283	0.06698143982859495	Total protein (g/L)	7.992408614970665	0.0065041602559283	black	2.9986303433558286	2.1868087667055116	chemistry
23109_irnt.female	3.8917846618262435	0.0068369798990158	0.06919495173659095	Impedance of arm (right)	3.8917846618262435	0.0068369798990158	black	1.960431885887248	2.165135696940587	non blood
30020_irnt.female	7.945630069933392	0.0072728876738935	0.0723590688911099	Haemoglobin concentration	7.945630069933392	0.0072728876738935	black	2.990161626461979	2.1382931198374666	count
22501_irnt.female	10.905408722647467	0.0075588980417683	0.07395121917529987	Year ended full time education	10.905408722647467	0.0075588980417683	black	3.4469719364924836	2.1215415126021804	non blood
23106_irnt.female	3.880809492923	0.0078091464709806	0.0751470324338625	Impedance of whole body	3.880809492923	0.0078091464709806	black	1.956357613653868	2.107396431321176	non blood
20022_irnt.male	8.19420552324311	0.0079948890509323	0.07569354633705258	Birth weight	8.19420552324311	0.0079948890509323	black	3.034604078276496	2.097187558797323	non blood
30020_irnt.male	6.565329212688288	0.009758807111989001	0.09092729801170704	Haemoglobin concentration	6.565329212688288	0.009758807111989001	black	2.714867355612378	2.0106032659749853	count
23110_irnt.female	3.599230267475493	0.0100877461216414	0.09252354645942973	Impedance of arm (left)	3.599230267475493	0.0100877461216414	black	1.8476884043237696	1.9962058561889036	non blood
22147_irnt.male	30.479468784120012	0.0130441342316265	0.11779856606099624	Age asthma diagnosed by doctor	30.479468784120012	0.0130441342316265	black	4.929765853716164	1.884584740703651	non blood
23107_irnt.female	4.3051098524884805	0.0143773427794109	0.1278712153259727	Impedance of leg (right)	4.3051098524884805	0.0143773427794109	black	2.1060500510061724	1.8423213728457037	non blood
23108_irnt.female	4.255132150486723	0.0150729073165575	0.1320566655943172	Impedance of leg (left)	4.255132150486723	0.0150729073165575	black	2.0892039379961473	1.8218029713244004	non blood
30610_irnt.male	6.478304338567346	0.0159084624417167	0.1368094322247546	Alkaline phosphatase (U/L)	6.478304338567346	0.0159084624417167	black	2.695616244827822	1.7983717930338887	chemistry
2139_irnt.male	3.886011601679963	0.0160815175868962	0.1368094322247546	Age first had sexual intercourse	3.886011601679963	0.0160815175868962	black	1.9582902080928828	1.793672969983357	non blood
5105_irnt.male	14.520327555499776	0.0177107095430538	0.1485169500253226	6mm strong meridian angle (left)	14.520327555499776	0.0177107095430538	black	3.8600020934940957	1.7517640393485956	non blood
5263_irnt.male	-7.381173409222736	0.021029090270791	0.17386022519653968	Intra-ocular pressure, Goldmann-correlated (left)	0.1	0.021029090270791	black	-3.321928094887362	1.6771795147088895	non blood
30030_irnt.female	7.04403839299388	0.0232446999064908	0.1895088728487514	Haematocrit percentage	7.04403839299388	0.0232446999064908	black	2.8164027724898095	1.6336760562692951	count
23104_irnt.female	3.4452230195786537	0.0253261482942911	0.2036499869691627	Body mass index (BMI)	3.4452230195786537	0.0253261482942911	black	1.7845973759124478	1.5964308544940982	non blood
30610_irnt.female	5.875101617724596	0.0262749281638165	0.2070467417172639	Alkaline phosphatase (U/L)	5.875101617724596	0.0262749281638165	black	2.5546138052298897	1.5804584626679692	chemistry
30710_irnt.male	9.660534256650156	0.0265909740409994	0.2070467417172639	C-reactive protein (mg/L)	9.660534256650156	0.0265909740409994	black	3.272102976649704	1.5752657539477348	chemistry
30720_irnt.male	4.525521927938878	0.0268067331695265	0.2070467417172639	Cystatin C (mg/L)	4.525521927938878	0.0268067331695265	black	2.1780841876492656	1.5717561085420801	chemistry
47_irnt.male	3.9783056594752253	0.0284926650582892	0.21513161671146244	Hand grip strength (right)	3.9783056594752253	0.0284926650582892	black	1.9921541249570602	1.5452669271740829	non blood
30680_irnt.male	8.364668586604896	0.0285864839923238	0.21513161671146244	Calcium (mmol/L)	8.364668586604896	0.0285864839923238	black	3.0643083809171427	1.5438392576057824	chemistry
2976_irnt.male	25.077204479227337	0.0294780279747571	0.21782175702547807	Age diabetes diagnosed	25.077204479227337	0.0294780279747571	black	4.64830462529429	1.5305015733342764	non blood
21001_irnt.female	3.3788024585671743	0.0299054925406277	0.21782175702547807	Body mass index (BMI)	3.3788024585671743	0.0299054925406277	black	1.7565120059097155	1.524249040404016	non blood
1488_irnt.male	6.54642736696425	0.0300571760120336	0.21782175702547807	Tea intake	6.54642736696425	0.0300571760120336	black	2.710707788156315	1.5220518254790996	non blood
5161_irnt.female	-153.5644105199489	0.0311712349958991	0.22314042612918011	6mm regularity index (right)	0.1	0.0311712349958991	black	-3.321928094887362	1.5062459907523884	non blood
100014_irnt.male	-21.945813543843304	0.0365418210503375	0.2570865547172206	Folate	0.1	0.0365418210503375	black	-3.321928094887362	1.4372098135131448	non blood
5157_irnt.male	36.59531392412161	0.0367892173700963	0.2570865547172206	6mm asymmetry index (left)	36.59531392412161	0.0367892173700963	black	5.193587016312997	1.434279450969195	non blood
23126_irnt.female	3.5947101657641785	0.040587913035585996	0.2802953523751645	Arm predicted mass (left)	3.5947101657641785	0.040587913035585996	black	1.8458754537601958	1.3916032788238881	non blood
23112_irnt.female	3.2804293708384176	0.0435503957666135	0.2862099596435597	Leg fat mass (right)	3.2804293708384176	0.0435503957666135	black	1.713884659550056	1.3610078939634276	non blood
30870_irnt.male	6.047570326648643	0.0435515113714027	0.2862099596435597	Triglycerides (mmol/L)	6.047570326648643	0.0435515113714027	black	2.5963556412729645	1.360996769040452	chemistry
30710_irnt.female	8.162964908257349	0.0437232902486343	0.2862099596435597	C-reactive protein (mg/L)	8.162964908257349	0.0437232902486343	black	3.0290932553251735	1.3592871641271906	chemistry
23116_irnt.female	3.24779185197182	0.0438956983988921	0.2862099596435597	Leg fat mass (left)	3.24779185197182	0.0438956983988921	black	1.6994591744717933	1.3575780367774155	non blood
5265_irnt.female	-4.165801381605259	0.0450355441181396	0.2862099596435597	Corneal resistance factor (left)	0.1	0.0450355441181396	black	-3.321928094887362	1.3464445857551746	non blood
20015_irnt.female	3.8546002665655856	0.0451548900018534	0.2862099596435597	Sitting height	3.8546002665655856	0.0451548900018534	black	1.946581256159796	1.3452952113344114	non blood
23121_irnt.female	3.6337498106165027	0.04573129055363599	0.2862099596435597	Arm fat-free mass (right)	3.6337498106165027	0.04573129055363599	black	1.8614590911712436	1.3397865424983	non blood
20153_irnt.female	4.817190798266114	0.0461931025216079	0.2862099596435597	Forced expiratory volume in 1-second (FEV1), predicted	4.817190798266114	0.0461931025216079	black	2.2681920670141507	1.3354228677433968	non blood
23125_irnt.female	3.479086610027484	0.0463090305141833	0.2862099596435597	Arm fat-free mass (left)	3.479086610027484	0.0463090305141833	black	1.7987085945375172	1.3343343109246497	non blood
874_irnt.male	6.260847778093302	0.0463201808622456	0.2862099596435597	Duration of walks	6.260847778093302	0.0463201808622456	black	2.6463580249595835	1.3342297535266932	non blood
23098_irnt.female	3.2057082066856415	0.0475664638827036	0.28904232708544064	Weight	3.2057082066856415	0.0475664638827036	black	1.6806431129765729	1.3226991330726519	non blood
30650_irnt.female	5.947112206438053	0.0477633828403539	0.28904232708544064	Aspartate aminotransferase (U/L)	5.947112206438053	0.0477633828403539	black	2.5721892958494124	1.3209049218939426	chemistry
3786_irnt.female	23.683206799561447	0.0489367159374457	0.29312094138041456	Age asthma diagnosed	23.683206799561447	0.0489367159374457	black	4.565792535676505	1.3103651787950417	non blood
23122_irnt.female	3.5011875137484747	0.05147888197259	0.29879885431618203	Arm predicted mass (right)	3.5011875137484747	0.05147888197259	black	1.8078443305212333	1.2883708937491467	non blood
30760_irnt.female	5.2715294450128205	0.0520894716243101	0.29879885431618203	HDL cholesterol (mmol/L)	5.2715294450128205	0.0520894716243101	black	2.3982215961341677	1.2832500478621833	chemistry
30650_irnt.male	5.510912862392532	0.0522137663120571	0.29879885431618203	Aspartate aminotransferase (U/L)	5.510912862392532	0.0522137663120571	black	2.462291315704616	1.282214978891393	chemistry
23105_irnt.female	3.4974570509108744	0.0523601777922372	0.29879885431618203	Basal metabolic rate	3.4974570509108744	0.0523601777922372	black	1.8063063410731328	1.280998887444879	non blood
23118_irnt.female	3.6463407633594356	0.0524297819328224	0.29879885431618203	Leg predicted mass (left)	3.6463407633594356	0.0524297819328224	black	1.8664493925993078	1.2804219486103061	non blood
23117_irnt.female	3.6198193905273777	0.0533373411996248	0.3010482623478823	Leg fat-free mass (left)	3.6198193905273777	0.0533373411996248	black	1.8559177163994307	1.2729686371484148	non blood
20015_irnt.male	3.5213372930244766	0.0538822371787202	0.3012273640372263	Sitting height	3.5213372930244766	0.0538822371787202	black	1.8161234230737675	1.2685543807626611	non blood
30630_irnt.female	5.769057161830678	0.0545884672005062	0.3022965117612937	Apoliprotein A (g/L)	5.769057161830678	0.0545884672005062	black	2.5283355581954803	1.2628991001565393	chemistry
23114_irnt.female	3.6157419268341338	0.0563545218784177	0.3070638481303989	Leg predicted mass (right)	3.6157419268341338	0.0563545218784177	black	1.8542917092344486	1.2490712304953555	non blood
23113_irnt.female	3.6315174226132254	0.0564955631994601	0.3070638481303989	Leg fat-free mass (right)	3.6315174226132254	0.0564955631994601	black	1.8605725015663093	1.2479856575549357	non blood
4100_irnt.female	5.102327080419267	0.0578513844476002	0.3115482813829478	Ankle spacing width (left)	5.102327080419267	0.0578513844476002	black	2.35115538466635	1.237686243440688	non blood
5111_irnt.female	12.029515388512655	0.0589216103700654	0.3144271389748036	3mm asymmetry angle (left)	12.029515388512655	0.0589216103700654	black	3.588506619307254	1.2297253920860949	non blood
21002_irnt.female	3.0667426380308394	0.0609656958255573	0.3224041752216409	Weight	3.0667426380308394	0.0609656958255573	black	1.6167071002809112	1.214914465059982	non blood
100002_irnt.female	31.32194007545668	0.0619421976303162	0.32462286717738514	Energy	31.32194007545668	0.0619421976303162	black	4.969101670560878	1.2080133904905557	non blood
5105_irnt.female	-9.404023532770664	0.0632092172716962	0.32462286717738514	6mm strong meridian angle (left)	0.1	0.0632092172716962	black	-3.321928094887362	1.1992195875663663	non blood
23120_irnt.female	3.0534365556913623	0.0644078873203254	0.32462286717738514	Arm fat mass (right)	3.0534365556913623	0.0644078873203254	black	1.6104338691731896	1.1910609461502941	non blood
23102_irnt.female	3.5161113099309587	0.0644544138277894	0.32462286717738514	Whole body water mass	3.5161113099309587	0.0644544138277894	black	1.8139807427633192	1.1907473368766452	non blood
24011_irnt.male	410.4172208214582	0.0644957983283372	0.32462286717738514	Traffic intensity on the nearest major road	410.4172208214582	0.0644957983283372	black	8.680947456471358	1.1904685771826398	non blood
30860_irnt.female	5.3023181558286465	0.0647033653488144	0.32462286717738514	Total protein (g/L)	5.3023181558286465	0.0647033653488144	black	2.4066232390594084	1.1890731302368636	chemistry
30810_irnt.male	4.552127158337568	0.0675810282699213	0.3349818123517381	Phosphate (mmol/L)	4.552127158337568	0.0675810282699213	black	2.186540858202657	1.1701752045623754	chemistry
30760_irnt.male	4.6232626826098056	0.0680854681379931	0.3349818123517381	HDL cholesterol (mmol/L)	4.6232626826098056	0.0680854681379931	black	2.2089113353474183	1.166945572095158	chemistry
5089_irnt.female	-57.45766850539277	0.0684800979253979	0.3349818123517381	Astigmatism angle (left)	0.1	0.0684800979253979	black	-3.321928094887362	1.1644356272965932	non blood
23101_irnt.female	3.4803454563026266	0.0700170314147725	0.33580651532878764	Whole body fat-free mass	3.4803454563026266	0.0700170314147725	black	1.7992305139357918	1.1547963064175102	non blood
23111_irnt.female	3.0563108610575043	0.0702641607731121	0.33580651532878764	Leg fat percentage (right)	3.0563108610575043	0.0702641607731121	black	1.6117912890862565	1.1532661365351666	non blood
4290_irnt.male	-5.366277025532353	0.0709388438784644	0.33580651532878764	Duration screen displayed	0.1	0.0709388438784644	black	-3.321928094887362	1.1491158936945631	non blood
100021_irnt.male	215.28685637899872	0.0718949846131642	0.33580651532878764	Vitamin D	215.28685637899872	0.0718949846131642	black	7.750116433034334	1.1433014048994479	non blood
5264_irnt.male	-4.802661774515231	0.0721172387745947	0.33580651532878764	Corneal hysteresis (left)	0.1	0.0721172387745947	black	-3.321928094887362	1.1419609099018504	non blood
5100_irnt.female	-13.972208324225496	0.0734957888025292	0.33580651532878764	3mm weak meridian angle (right)	0.1	0.0734957888025292	black	-3.321928094887362	1.13373754461947	non blood
30030_irnt.male	4.8526007069998585	0.0745039792053942	0.33580651532878764	Haematocrit percentage	4.8526007069998585	0.0745039792053942	black	2.2787581537903883	1.127820531267886	count
30670_irnt.male	-2.7376099201835316	0.0746429807366589	0.33580651532878764	Urea (mmol/L)	0.1	0.0746429807366589	black	-3.321928094887362	1.1270110261260329	chemistry
5115_irnt.female	-14.404940620331047	0.0754512233082497	0.33580651532878764	3mm cylindrical power angle (right)	0.1	0.0754512233082497	black	-3.321928094887362	1.122333714513764	non blood
23115_irnt.female	3.0173254700933523	0.0758836831866217	0.33580651532878764	Leg fat percentage (left)	3.0173254700933523	0.0758836831866217	black	1.593270324182332	1.1198515978043926	non blood
23124_irnt.female	2.9883480134490528	0.07605404423254901	0.33580651532878764	Arm fat mass (left)	2.9883480134490528	0.07605404423254901	black	1.5793481695598206	1.1188776870524015	non blood
30630_irnt.male	4.6266948952456834	0.0764963653723218	0.33580651532878764	Apoliprotein A (g/L)	4.6266948952456834	0.0764963653723218	black	2.209981964338876	1.1163591993070883	chemistry
50_irnt.male	3.7307708216450215	0.0765339850694601	0.33580651532878764	Standing height	3.7307708216450215	0.0765339850694601	black	1.8994737392403782	1.1161456726810304	non blood
30690_irnt.female	5.980362084331113	0.0766577053731815	0.33580651532878764	Cholesterol (mmol/L)	5.980362084331113	0.0766577053731815	black	2.580232835837218	1.1154441848035572	chemistry
4288_irnt.male	47.313605675687676	0.0778217978294744	0.3383807061177887	Time to answer	47.313605675687676	0.0778217978294744	black	5.5641832048431725	1.1088987403993895	non blood
23106_irnt.male	3.1174246250064286	0.08044424380292799	0.34439291736049826	Impedance of whole body	3.1174246250064286	0.08044424380292799	black	1.6403546781161962	1.0945050264445384	non blood
23130_irnt.female	3.4665952315776183	0.0808949120163307	0.34439291736049826	Trunk predicted mass	3.4665952315776183	0.0808949120163307	black	1.793519393654527	1.092078793007264	non blood
23129_irnt.female	3.4662173795771136	0.0809646040813437	0.34439291736049826	Trunk fat-free mass	3.4662173795771136	0.0809646040813437	black	1.7933621341875738	1.0917048034900863	non blood
49_irnt.female	3.0266852794157826	0.08323648582113201	0.34938894093750045	Hip circumference	3.0266852794157826	0.08323648582113201	black	1.597738668746008	1.0796862636443074	non blood
3526_irnt.female	16.40327006551037	0.0842442870155136	0.34938894093750045	Mother's age at death	16.40327006551037	0.0842442870155136	black	4.035911546134129	1.0744595409226607	non blood
30620_irnt.male	5.649316505512121	0.0845187192226884	0.34938894093750045	Alanine aminotransferase (U/L)	5.649316505512121	0.0845187192226884	black	2.4980763305797082	1.0730470927689608	chemistry
129_irnt.female	17.945955847808353	0.0845200460710426	0.34938894093750045	Place of birth in UK - north co-ordinate	17.945955847808353	0.0845200460710426	black	4.165586861739755	1.0730402748900256	non blood
30720_irnt.female	3.3990157206167164	0.0853304050299545	0.34938894093750045	Cystatin C (mg/L)	3.3990157206167164	0.0853304050299545	black	1.765117034431314	1.0688961929369525	chemistry
23100_irnt.female	2.903237096631832	0.0857104045911415	0.34938894093750045	Whole body fat mass	2.903237096631832	0.0857104045911415	black	1.5376623963418616	1.0669664548300941	non blood
30640_irnt.female	5.708934125832906	0.0881475077862669	0.35543007200265553	Apoliprotein B (g/L)	5.708934125832906	0.0881475077862669	black	2.5132214154803165	1.0547899620937877	chemistry
2217_irnt.male	5.420382933800137	0.0884033909921426	0.35543007200265553	Age started wearing glasses or contact lenses	5.420382933800137	0.0884033909921426	black	2.4383947772579813	1.053531075926627	non blood
24005_irnt.male	-16.747600224728178	0.0913781690690445	0.3634619617937343	Particulate matter air pollution (pm10); 2010	0.1	0.0913781690690445	black	-3.321928094887362	1.039157548087897	non blood
50_irnt.female	3.449450467595556	0.0916394724795105	0.3634619617937343	Standing height	3.449450467595556	0.0916394724795105	black	1.7863665442610988	1.037917419481517	non blood
30780_irnt.female	5.8304907751097295	0.0933184060841854	0.3676369420900459	LDL direct (mmol/L)	5.8304907751097295	0.0933184060841854	black	2.5436173257957493	1.0300326877389219	chemistry
5084_irnt.female	-2.103141415566118	0.0948451116068209	0.3711605367546925	Spherical power (right)	0.1	0.0948451116068209	black	-3.321928094887362	1.022985048084678	non blood
30880_irnt.male	4.9342009507246765	0.0956268571439881	0.37174149101669546	Urate (umol/L)	4.9342009507246765	0.0956268571439881	black	2.302816472166291	1.019420117437759	chemistry
1438_irnt.male	-4.01243559860399	0.0976219899488765	0.3746097865042463	Bread intake	0.1	0.0976219899488765	black	-3.321928094887362	1.0104523438316384	non blood
4119_irnt.female	4.667461283619669	0.0980638068219379	0.3746097865042463	Ankle spacing width (right)	4.667461283619669	0.0980638068219379	black	2.222638055410971	1.0084912515174285	non blood
48_irnt.male	3.1892268893494946	0.0982792284866336	0.3746097865042463	Waist circumference	3.1892268893494946	0.0982792284866336	black	1.6732067380716629	1.0075382614849246	non blood
4101_irnt.female	4.698304898987132	0.0996754376987798	0.37748052857537895	Heel broadband ultrasound attenuation (left)	4.698304898987132	0.0996754376987798	black	2.23214034084764	1.0014118485700332	non blood
100017_irnt.female	14.430245304739485	0.1019026019605109	0.38344120096679424	Magnesium	14.430245304739485	0.1019026019605109	black	3.85102391979777	0.9918147266641812	non blood
