trait_short	Enrichment	Enrichment_p	Enrichment_p_adj	description
5265_irnt.male	-7.39748011235162	0.0060987962327584	0.06392845336837823	Corneal resistance factor (left)
30860_irnt.male	7.992408614970665	0.0065041602559283	0.06698143982859495	Total protein (g/L)
23109_irnt.female	3.891784661826244	0.0068369798990158	0.06919495173659095	Impedance of arm (right)
30020_irnt.female	7.945630069933391	0.0072728876738935	0.0723590688911099	Haemoglobin concentration
22501_irnt.female	10.905408722647469	0.0075588980417683	0.07395121917529987	Year ended full time education
23106_irnt.female	3.880809492923	0.0078091464709806	0.0751470324338625	Impedance of whole body
20022_irnt.male	8.19420552324311	0.0079948890509323	0.07569354633705258	Birth weight
30020_irnt.male	6.565329212688287	0.009758807111989	0.09092729801170703	Haemoglobin concentration
23110_irnt.female	3.599230267475493	0.0100877461216414	0.09252354645942971	Impedance of arm (left)
22147_irnt.male	30.47946878412001	0.0130441342316265	0.11779856606099623	Age asthma diagnosed by doctor
23107_irnt.female	4.3051098524884805	0.0143773427794109	0.1278712153259727	Impedance of leg (right)
23108_irnt.female	4.255132150486723	0.0150729073165575	0.1320566655943172	Impedance of leg (left)
30610_irnt.male	6.478304338567346	0.0159084624417167	0.1368094322247546	Alkaline phosphatase (U/L)
2139_irnt.male	3.886011601679963	0.0160815175868962	0.1368094322247546	Age first had sexual intercourse
5105_irnt.male	14.520327555499774	0.0177107095430538	0.14851695002532259	6mm strong meridian angle (left)
5263_irnt.male	-7.381173409222736	0.021029090270791	0.17386022519653968	Intra-ocular pressure, Goldmann-correlated (left)
30030_irnt.female	7.044038392993879	0.0232446999064908	0.1895088728487514	Haematocrit percentage
23104_irnt.female	3.4452230195786537	0.0253261482942911	0.2036499869691627	Body mass index (BMI)
30610_irnt.female	5.875101617724596	0.0262749281638165	0.2070467417172639	Alkaline phosphatase (U/L)
30710_irnt.male	9.660534256650156	0.0265909740409994	0.2070467417172639	C-reactive protein (mg/L)
30720_irnt.male	4.525521927938878	0.0268067331695265	0.2070467417172639	Cystatin C (mg/L)
47_irnt.male	3.978305659475225	0.0284926650582892	0.21513161671146244	Hand grip strength (right)
30680_irnt.male	8.364668586604896	0.0285864839923238	0.21513161671146244	Calcium (mmol/L)
2976_irnt.male	25.07720447922734	0.0294780279747571	0.21782175702547807	Age diabetes diagnosed
21001_irnt.female	3.3788024585671743	0.0299054925406277	0.21782175702547807	Body mass index (BMI)
1488_irnt.male	6.546427366964249	0.0300571760120336	0.21782175702547807	Tea intake
5161_irnt.female	-153.56441051994892	0.0311712349958991	0.22314042612918014	6mm regularity index (right)
100014_irnt.male	-21.9458135438433	0.0365418210503375	0.2570865547172206	Folate
5157_irnt.male	36.595313924121605	0.0367892173700963	0.2570865547172206	6mm asymmetry index (left)
23126_irnt.female	3.5947101657641785	0.040587913035586	0.2802953523751645	Arm predicted mass (left)
23112_irnt.female	3.2804293708384176	0.0435503957666135	0.28620995964355966	Leg fat mass (right)
30870_irnt.male	6.047570326648642	0.0435515113714027	0.28620995964355966	Triglycerides (mmol/L)
30710_irnt.female	8.16296490825735	0.0437232902486343	0.28620995964355966	C-reactive protein (mg/L)
23116_irnt.female	3.24779185197182	0.0438956983988921	0.28620995964355966	Leg fat mass (left)
5265_irnt.female	-4.165801381605259	0.0450355441181396	0.28620995964355966	Corneal resistance factor (left)
20015_irnt.female	3.8546002665655856	0.0451548900018534	0.28620995964355966	Sitting height
23121_irnt.female	3.633749810616503	0.045731290553636	0.28620995964355966	Arm fat-free mass (right)
20153_irnt.female	4.817190798266114	0.0461931025216079	0.28620995964355966	Forced expiratory volume in 1-second (FEV1), predicted
23125_irnt.female	3.4790866100274838	0.0463090305141833	0.28620995964355966	Arm fat-free mass (left)
874_irnt.male	6.260847778093302	0.0463201808622456	0.28620995964355966	Duration of walks
23098_irnt.female	3.205708206685641	0.0475664638827036	0.28904232708544064	Weight
30650_irnt.female	5.947112206438053	0.0477633828403539	0.28904232708544064	Aspartate aminotransferase (U/L)
3786_irnt.female	23.683206799561447	0.0489367159374457	0.29312094138041456	Age asthma diagnosed
23122_irnt.female	3.5011875137484747	0.05147888197259	0.298798854316182	Arm predicted mass (right)
30760_irnt.female	5.27152944501282	0.0520894716243101	0.298798854316182	HDL cholesterol (mmol/L)
30650_irnt.male	5.510912862392531	0.0522137663120571	0.298798854316182	Aspartate aminotransferase (U/L)
23105_irnt.female	3.4974570509108744	0.0523601777922372	0.298798854316182	Basal metabolic rate
23118_irnt.female	3.646340763359436	0.0524297819328224	0.298798854316182	Leg predicted mass (left)
23117_irnt.female	3.619819390527378	0.0533373411996248	0.3010482623478823	Leg fat-free mass (left)
20015_irnt.male	3.5213372930244766	0.0538822371787202	0.3012273640372263	Sitting height
30630_irnt.female	5.769057161830677	0.0545884672005062	0.30229651176129374	Apoliprotein A (g/L)
23114_irnt.female	3.6157419268341338	0.0563545218784177	0.3070638481303989	Leg predicted mass (right)
23113_irnt.female	3.6315174226132254	0.0564955631994601	0.3070638481303989	Leg fat-free mass (right)
4100_irnt.female	5.102327080419267	0.0578513844476002	0.3115482813829478	Ankle spacing width (left)
5111_irnt.female	12.029515388512657	0.0589216103700654	0.31442713897480357	3mm asymmetry angle (left)
21002_irnt.female	3.06674263803084	0.0609656958255573	0.3224041752216409	Weight
100002_irnt.female	31.32194007545668	0.0619421976303162	0.32462286717738514	Energy
5105_irnt.female	-9.404023532770664	0.0632092172716962	0.32462286717738514	6mm strong meridian angle (left)
23120_irnt.female	3.0534365556913623	0.0644078873203254	0.32462286717738514	Arm fat mass (right)
23102_irnt.female	3.5161113099309587	0.0644544138277894	0.32462286717738514	Whole body water mass
24011_irnt.male	410.4172208214582	0.0644957983283372	0.32462286717738514	Traffic intensity on the nearest major road
30860_irnt.female	5.302318155828646	0.0647033653488144	0.32462286717738514	Total protein (g/L)
30810_irnt.male	4.552127158337568	0.0675810282699213	0.3349818123517381	Phosphate (mmol/L)
30760_irnt.male	4.6232626826098056	0.0680854681379931	0.3349818123517381	HDL cholesterol (mmol/L)
5089_irnt.female	-57.45766850539277	0.0684800979253979	0.3349818123517381	Astigmatism angle (left)
23101_irnt.female	3.480345456302627	0.0700170314147725	0.33580651532878764	Whole body fat-free mass
23111_irnt.female	3.0563108610575043	0.0702641607731121	0.33580651532878764	Leg fat percentage (right)
4290_irnt.male	-5.366277025532354	0.0709388438784644	0.33580651532878764	Duration screen displayed
100021_irnt.male	215.28685637899872	0.0718949846131642	0.33580651532878764	Vitamin D
5264_irnt.male	-4.802661774515231	0.0721172387745947	0.33580651532878764	Corneal hysteresis (left)
5100_irnt.female	-13.972208324225498	0.0734957888025292	0.33580651532878764	3mm weak meridian angle (right)
30030_irnt.male	4.852600706999858	0.0745039792053942	0.33580651532878764	Haematocrit percentage
30670_irnt.male	-2.737609920183532	0.0746429807366589	0.33580651532878764	Urea (mmol/L)
5115_irnt.female	-14.404940620331049	0.0754512233082497	0.33580651532878764	3mm cylindrical power angle (right)
23115_irnt.female	3.017325470093352	0.0758836831866217	0.33580651532878764	Leg fat percentage (left)
23124_irnt.female	2.9883480134490528	0.076054044232549	0.33580651532878764	Arm fat mass (left)
30630_irnt.male	4.626694895245684	0.0764963653723218	0.33580651532878764	Apoliprotein A (g/L)
50_irnt.male	3.7307708216450215	0.0765339850694601	0.33580651532878764	Standing height
30690_irnt.female	5.980362084331114	0.0766577053731815	0.33580651532878764	Cholesterol (mmol/L)
4288_irnt.male	47.31360567568768	0.0778217978294744	0.3383807061177887	Time to answer
23106_irnt.male	3.1174246250064286	0.080444243802928	0.34439291736049826	Impedance of whole body
23130_irnt.female	3.4665952315776183	0.0808949120163307	0.34439291736049826	Trunk predicted mass
23129_irnt.female	3.4662173795771136	0.0809646040813437	0.34439291736049826	Trunk fat-free mass
49_irnt.female	3.0266852794157826	0.083236485821132	0.34938894093750045	Hip circumference
3526_irnt.female	16.40327006551037	0.0842442870155136	0.34938894093750045	Mother's age at death
30620_irnt.male	5.649316505512121	0.0845187192226884	0.34938894093750045	Alanine aminotransferase (U/L)
129_irnt.female	17.94595584780835	0.0845200460710426	0.34938894093750045	Place of birth in UK - north co-ordinate
30720_irnt.female	3.3990157206167164	0.0853304050299545	0.34938894093750045	Cystatin C (mg/L)
23100_irnt.female	2.9032370966318317	0.0857104045911415	0.34938894093750045	Whole body fat mass
30640_irnt.female	5.708934125832905	0.0881475077862669	0.35543007200265553	Apoliprotein B (g/L)
2217_irnt.male	5.420382933800136	0.0884033909921426	0.35543007200265553	Age started wearing glasses or contact lenses
24005_irnt.male	-16.747600224728178	0.0913781690690445	0.36346196179373425	Particulate matter air pollution (pm10); 2010
50_irnt.female	3.449450467595556	0.0916394724795105	0.36346196179373425	Standing height
30780_irnt.female	5.8304907751097295	0.0933184060841854	0.3676369420900459	LDL direct (mmol/L)
5084_irnt.female	-2.103141415566118	0.0948451116068209	0.37116053675469246	Spherical power (right)
30880_irnt.male	4.934200950724677	0.0956268571439881	0.37174149101669546	Urate (umol/L)
1438_irnt.male	-4.01243559860399	0.0976219899488765	0.3746097865042463	Bread intake
4119_irnt.female	4.66746128361967	0.0980638068219379	0.3746097865042463	Ankle spacing width (right)
48_irnt.male	3.1892268893494946	0.0982792284866336	0.3746097865042463	Waist circumference
4101_irnt.female	4.698304898987132	0.0996754376987798	0.377480528575379	Heel broadband ultrasound attenuation (left)
100017_irnt.female	14.430245304739485	0.1019026019605109	0.38344120096679424	Magnesium
100004_irnt.male	14.64414109665143	0.1054692739715625	0.39433416446692476	Fat
4194_irnt.female	5.657193907456452	0.1124146784851774	0.41542455868771383	Pulse rate
5162_irnt.male	22.588891666112858	0.1125255618932649	0.41542455868771383	6mm regularity index (left)
4120_irnt.female	4.607161860779661	0.1147383972657328	0.41868949484409573	Heel broadband ultrasound attenuation (right)
5119_irnt.male	15.830626898331689	0.1148364713286191	0.41868949484409573	3mm cylindrical power (left)
23108_irnt.male	3.033696930881326	0.1170894431028022	0.4217760429669922	Impedance of leg (left)
100013_irnt.male	-276.7590557597233	0.1171200937029297	0.4217760429669922	Vitamin B12
23110_irnt.male	3.011759500231606	0.1184214968419239	0.4238623088183496	Impedance of arm (left)
5101_irnt.male	-9.110381857893804	0.1198636570980702	0.42642404070646794	6mm weak meridian angle (right)
30510_irnt.female	3.786684344414693	0.1206012885346179	0.4264635925892814	Creatinine (enzymatic) in urine
23109_irnt.male	2.8937396509560624	0.122704745756888	0.4313035075406782	Impedance of arm (right)
404_irnt.male	3.552187300283097	0.1245436420644997	0.4335514201508183	Duration to first press of snap-button in each round
796_irnt.male	75.79818986798688	0.1248214480502356	0.4335514201508183	Distance between home and job workplace
5163_irnt.female	-42.358432998464735	0.1265218478916368	0.4368724983081812	3mm regularity index (left)
22503_irnt.female	-88.90151766563537	0.1304246311591476	0.4465476210158925	Years of cough on most days
30840_irnt.female	6.7260057987399255	0.1310780360542865	0.4465476210158925	Total bilirubin (umol/L)
23119_irnt.female	2.713783811897023	0.1320988403690225	0.4465476210158925	Arm fat percentage (right)
21001_irnt.male	2.807453361496602	0.133175556192475	0.4465476210158925	Body mass index (BMI)
30660_irnt.male	6.171470115546819	0.1333480585777527	0.4465476210158925	Direct bilirubin (umol/L)
100025_irnt.male	37.41598506998636	0.1348816093696737	0.4465476210158925	Vitamin E
20433_irnt.male	-35.64427491734779	0.1360682067702584	0.4465476210158925	Age at first episode of depression
100008_irnt.female	9.782286834456842	0.1362701983140639	0.4465476210158925	Total sugars
30810_irnt.female	4.250427403129801	0.1366118582858646	0.4465476210158925	Phosphate (mmol/L)
129_irnt.female.v2	12.335765709574778	0.1378680613779438	0.4465476210158925	Place of birth in UK - north co-ordinate
30890_irnt.female	-2.9542683890478787	0.1379483576473136	0.4465476210158925	Vitamin D (nmol/L)
5114_irnt.male	-8.600569074856041	0.1384525843694931	0.4465476210158925	6mm cylindrical power angle (right)
23123_irnt.female	2.647856658402858	0.1404308034892141	0.44776275480100636	Arm fat percentage (left)
100015_irnt.female	-17.630736674464508	0.1421658632253704	0.44776275480100636	Vitamin C
100016_irnt.female	17.60629382614121	0.1433832759856231	0.44776275480100636	Potassium
23128_irnt.male	2.942511388552675	0.1438777237549488	0.44776275480100636	Trunk fat mass
3894_irnt.male	63.62458628277472	0.1440219452092091	0.44776275480100636	Age heart attack diagnosed
30800_irnt.male	-76.56140071738255	0.1444006441368892	0.44776275480100636	Oestradiol (pmol/L)
23104_irnt.male	2.7382988906931174	0.1447658792364672	0.44776275480100636	Body mass index (BMI)
20455_irnt.female	-188.39338160425123	0.1449317264262201	0.44776275480100636	Age when last took cannabis
5106_irnt.female	-7.425113725976188	0.1516059476239699	0.46226766889427484	6mm strong meridian angle (right)
1807_irnt.female	-5.755586548375652	0.1524335480045223	0.46226766889427484	Father's age at death
23128_irnt.female	2.6031115355565584	0.1526507712598905	0.46226766889427484	Trunk fat mass
4105_irnt.female	3.9404317588667377	0.1539325450473661	0.46226766889427484	Heel bone mineral density (BMD) (left)
4195_irnt.male	8.6778492971215	0.1542347190787177	0.46226766889427484	Pulse wave reflection index
4080_irnt.female	3.603336811814328	0.1543517258999623	0.46226766889427484	Systolic blood pressure, automated reading
100007_irnt.female	48.22478617924772	0.1560670433122018	0.46479378575817015	Polyunsaturated fat
5085_irnt.female	-1.799376518800925	0.1567788238162141	0.46479378575817015	Spherical power (left)
5088_irnt.male	-13.358587837589214	0.1580663673836279	0.46620957857998835	Astigmatism angle (right)
21002_irnt.male	3.075269371357118	0.1594519543215316	0.46620957857998835	Weight
4106_irnt.female	3.8770005299154464	0.1603337137706235	0.46620957857998835	Heel bone mineral density (BMD) T-score, automated (left)
4104_irnt.female	3.876300932222648	0.1604332791706263	0.46620957857998835	Heel quantitative ultrasound index (QUI), direct entry (left)
46_irnt.male	3.0402950545883187	0.1620224695429295	0.46850832325960406	Hand grip strength (left)
12338_irnt.male	140.47650524922562	0.1680896312072148	0.4820496923758201	P duration
914_irnt.female	18.64583891623715	0.1687669834983026	0.4820496923758201	Duration of vigorous activity
30850_irnt.female	6.332301365983929	0.1691690572903219	0.4820496923758201	Testosterone (nmol/L)
5255_irnt.male	-4.145649548939272	0.1737362488065323	0.4926723577267365	Intra-ocular pressure, Goldmann-correlated (right)
5102_irnt.female	10.563673977983454	0.1800483096088876	0.503581155374402	6mm weak meridian angle (left)
5257_irnt.male	-3.0865860394623112	0.1811956654718503	0.503581155374402	Corneal resistance factor (right)
3063_irnt.male	2.715406470898502	0.1814199819633656	0.503581155374402	Forced expiratory volume in 1-second (FEV1)
49_irnt.male	2.905721551797227	0.1828428690402385	0.503581155374402	Hip circumference
5264_irnt.female	-3.3456204877370253	0.1831357493174382	0.503581155374402	Corneal hysteresis (left)
23100_irnt.male	2.710593027248004	0.1837140970089161	0.503581155374402	Whole body fat mass
23098_irnt.male	2.9611251187135244	0.1851464694738041	0.503581155374402	Weight
24004_irnt.male	-5.269243035902259	0.1858448868559047	0.503581155374402	Nitrogen oxides air pollution; 2010
23102_irnt.male	3.2437517785719034	0.1863153721720934	0.503581155374402	Whole body water mass
4195_irnt.female	9.524672601421225	0.1865483325053444	0.503581155374402	Pulse wave reflection index
5113_irnt.female	10.570933105294664	0.1870199180095735	0.503581155374402	6mm cylindrical power angle (left)
23099_irnt.female	2.4609896871963715	0.1909913473813188	0.5117110781071569	Body fat percentage
20023_irnt.male	3.3061999155179067	0.192405340834663	0.5117110781071569	Mean time to correctly identify matches
23124_irnt.male	2.7564909650397715	0.1926544263401732	0.5117110781071569	Arm fat mass (left)
5112_irnt.female	-11.845264855453577	0.1964522416783903	0.5194480444379058	3mm cylindrical power angle (left)
100006_irnt.male	18.180690578158824	0.1976469330116112	0.5202634514700258	Saturated fat
23112_irnt.male	2.540717194813249	0.2011313329263712	0.5259045215123858	Leg fat mass (right)
23101_irnt.male	3.1668833696895518	0.2024286325885023	0.5259045215123858	Whole body fat-free mass
23116_irnt.male	2.5242439849403278	0.2024777203778521	0.5259045215123858	Leg fat mass (left)
100009_irnt.female	-21.234520192732973	0.2041532325669937	0.5275558568645586	Englyst dietary fibre
30790_irnt.male	-76.38552087960214	0.2049109631433039	0.5275558568645586	Lipoprotein A (nmol/L)
23105_irnt.male	3.107357510659693	0.2063438505687927	0.5289250667418398	Basal metabolic rate
24022_irnt.male	-27.892244103940197	0.2092595936801421	0.5302100111276004	Average night-time sound level of noise pollution
24023_irnt.male	-27.437588042294188	0.2105103281646683	0.5302100111276004	Average 16-hour sound level of noise pollution
24020_irnt.male	-27.626876928571438	0.210715912852275	0.5302100111276004	Average daytime sound level of noise pollution
30890_irnt.male	-3.004229670860356	0.2119565311702884	0.5302100111276004	Vitamin D (nmol/L)
22507_irnt.female	32.34392363847111	0.212019629130323	0.5302100111276004	Age of stopping smoking
24024_irnt.male	-26.80542538448971	0.2131771902119181	0.5302100111276004	Average 24-hour sound level of noise pollution
24021_irnt.male	-27.902202858676624	0.2136727168412025	0.5302100111276004	Average evening sound level of noise pollution
5103_irnt.female	-11.285979381099152	0.2150459523203598	0.5302100111276004	3mm weak meridian angle (left)
100019_irnt.female	-84.21065174850195	0.2154359521570927	0.5302100111276004	Carotene
23117_irnt.male	3.009019476272341	0.2158776706294659	0.5302100111276004	Leg fat-free mass (left)
5086_irnt.female	-30.368188499660977	0.2190238549960491	0.5355024908882041	Cylindrical power (left)
23129_irnt.male	3.1381182447714018	0.2215672832087793	0.5355024908882041	Trunk fat-free mass
23130_irnt.male	3.1388066175548643	0.2223574819729307	0.5355024908882041	Trunk predicted mass
100023_irnt.male	-14.898736218185078	0.2236121469968696	0.5355024908882041	Starch
5208_irnt.female	17.286341685045677	0.2256824647558463	0.5355024908882041	logMAR, final (left)
23118_irnt.male	2.971110749937141	0.225987167916849	0.5355024908882041	Leg predicted mass (left)
30620_irnt.female	4.389959729722049	0.2261090551797884	0.5355024908882041	Alanine aminotransferase (U/L)
102_irnt.female	3.2934914584168524	0.2272441832255192	0.5355024908882041	Pulse rate, automated reading
30790_irnt.female	46.446735126579625	0.2279264968249477	0.5355024908882041	Lipoprotein A (nmol/L)
93_irnt.male	-18.399608201256537	0.2282887955071425	0.5355024908882041	Systolic blood pressure, manual reading
3143_irnt.male	3.046583455855875	0.2286602214097554	0.5355024908882041	Ankle spacing width
22643_irnt.female	-862.1015318213011	0.2298886202692793	0.5355024908882041	Number of night shifts worked monthly during mixed shift periods
3143_irnt.female	2.9037355398110867	0.2298920403813074	0.5355024908882041	Ankle spacing width
4609_irnt.male	-30.4695403287708	0.2363174794470366	0.5482939147644683	Longest period of depression
20075_irnt.female	5.767971315817871	0.2416233381617714	0.558397242129763	Home location at assessment - north co-ordinate (rounded)
5089_irnt.male	36.50368886922517	0.2461303352432655	0.5629492856028093	Astigmatism angle (left)
699_irnt.male	7.391591199490001	0.2467028902948392	0.5629492856028093	Length of time at current address
400_irnt.male	-0.495230287770601	0.2471771015970377	0.5629492856028093	Time to complete round
5109_irnt.female	-7.656724687464353	0.2474291578969758	0.5629492856028093	6mm asymmetry angle (right)
5087_irnt.female	-15.105515131020647	0.2511429002717812	0.5691925963688632	Cylindrical power (right)
23107_irnt.male	2.475306229662944	0.2556194698662849	0.5741920504785646	Impedance of leg (right)
12336_irnt.female	-30.918292854559358	0.2574346381397476	0.5741920504785646	Ventricular rate
23122_irnt.male	2.8669082600668068	0.2583547538284673	0.5741920504785646	Arm predicted mass (right)
6033_irnt.male	-7.320507223261178	0.2587389939853659	0.5741920504785646	Maximum heart rate during fitness test
100011_irnt.male	-10.538455364004411	0.2594588875535054	0.5741920504785646	Iron
23115_irnt.male	2.233756096240275	0.2601824933036927	0.5741920504785646	Leg fat percentage (left)
5162_irnt.female	-9.64453602391244	0.2601960569459935	0.5741920504785646	6mm regularity index (left)
100014_irnt.female	-15.918416477458342	0.2657609265166665	0.5821893290384548	Folate
30870_irnt.female	3.7249400353808353	0.2666763033340216	0.5821893290384548	Triglycerides (mmol/L)
23127_irnt.male	2.381025315407572	0.2667954506155781	0.5821893290384548	Trunk fat percentage
22702_irnt.male	29.606025626472825	0.2679983794942854	0.5826483287523908	Home location - east co-ordinate (rounded)
23120_irnt.male	2.474174532190367	0.2707727379824861	0.5865077387295916	Arm fat mass (right)
23114_irnt.male	2.8049961807362007	0.273440479248957	0.5888086523856367	Leg predicted mass (right)
24024_irnt.female	10.453775792595884	0.2744135305855236	0.5888086523856367	Average 24-hour sound level of noise pollution
24023_irnt.female	10.440000188036482	0.2753486752690335	0.5888086523856367	Average 16-hour sound level of noise pollution
23113_irnt.male	2.78789908170319	0.2779929419738532	0.5888086523856367	Leg fat-free mass (right)
5262_irnt.male	-4.282186182048838	0.2784721269263286	0.5888086523856367	Intra-ocular pressure, corneal-compensated (left)
23121_irnt.male	2.7766167824657684	0.2785981958602986	0.5888086523856367	Arm fat-free mass (right)
24022_irnt.female	10.28859119173458	0.2804545107288461	0.5888086523856367	Average night-time sound level of noise pollution
24020_irnt.female	10.266940544679072	0.280935854814707	0.5888086523856367	Average daytime sound level of noise pollution
23099_irnt.male	2.272309531249922	0.2817250679578217	0.5888086523856367	Body fat percentage
5262_irnt.female	5.974431835080209	0.2824973252276753	0.5888086523856367	Intra-ocular pressure, corneal-compensated (left)
24021_irnt.female	10.258205670099027	0.2833993509521944	0.5888086523856367	Average evening sound level of noise pollution
20153_irnt.male	3.2512388967904724	0.2850147260217075	0.5888086523856367	Forced expiratory volume in 1-second (FEV1), predicted
46_irnt.female	2.5620028345196557	0.2867897613717479	0.5888086523856367	Hand grip strength (left)
24007_irnt.female	-452.2741806704076	0.2869093142685807	0.5888086523856367	Particulate matter air pollution (pm2.5) absorbance; 2010
3761_irnt.female	6.868481671095261	0.2871842152627157	0.5888086523856367	Age hay fever, rhinitis or eczema diagnosed
2867_irnt.male	-5.49913020962325	0.2896468747627804	0.5888086523856367	Age started smoking in former smokers
24016_irnt.female	-7.148286302172143	0.2903591402853751	0.5888086523856367	Nitrogen dioxide air pollution; 2005
1807_irnt.male	-3.903832040377591	0.2907496475189197	0.5888086523856367	Father's age at death
20433_irnt.female	-34.5479995931591	0.2908935420644543	0.5888086523856367	Age at first episode of depression
